"Journal of 'Grant fee'" "Illicitly register 'Grant fee'" 1.00;
"Journal of 'Grant fee'" "Grant fee" 1.00;
"Journal of 'Employ teacher'" "Illicitly register 'Employ teacher'" 1.00;
"Journal of 'Employ teacher'" "Employ teacher" 1.00;
"Journal of 'Pay salaries'" "Illicitly register 'Pay salaries'" 1.00;
"Journal of 'Pay salaries'" "Pay salaries" 1.00;
"Journal of 'Deliver course'" "Illicitly register 'Deliver course'" 1.00;
"Journal of 'Deliver course'" "Deliver course" 1.00;
"Journal of 'Rent room'" "Illicitly register 'Rent room'" 1.00;
"Journal of 'Rent room'" "Rent room" 1.00;
"Journal of 'Buy book'" "Illicitly register 'Buy book'" 1.00;
"Journal of 'Buy book'" "Buy book" 1.00;
"Journal of 'sales'" "Illicitly register 'sales'" 1.00;
"Journal of 'sales'" "sales" 1.00;
"Journal of 'Pay creditors'" "Illicitly register 'Pay creditors'" 1.00;
"Journal of 'Pay creditors'" "Pay creditors" 1.00;
"Journal of 'Deliver book'" "Illicitly register 'Deliver book'" 1.00;
"Journal of 'Deliver book'" "Deliver book" 1.00;
"Journal of 'Collect'" "Illicitly register 'Collect'" 1.00;
"Journal of 'Collect'" "Collect" 1.00;
"Sales fee" "Illicitly produce 'Sales fee'" 1.00;
"Sales fee" "sales" 400.00;
"Teaching hours" "Illicitly produce 'Teaching hours'" 1.00;
"Teaching hours" "Employ teacher" 20.00;
"Salaries" "Illicitly produce 'Salaries'" 1.00;
"Salaries" "Grant fee" 400.00;
"Salaries" "Employ teacher" 100.00;
"Course orders" "Illicitly produce 'Course orders'" 1.00;
"Course orders" "sales" 1.00;
"Room hours" "Illicitly produce 'Room hours'" 1.00;
"Room hours" "Rent room" 20.00;
"Cash" "Illicitly produce 'Cash'" 1.00;
"Cash" "Collect" 25.00;
"Book orders" "Illicitly produce 'Book orders'" 1.00;
"Book orders" "sales" 1.00;
"Creditors" "Illicitly produce 'Creditors'" 1.00;
"Creditors" "Rent room" 200.00;
"Creditors" "Buy book" 25.00;
"Course books" "Illicitly produce 'Course books'" 1.00;
"Course books" "Buy book" 1.00;
"Debtors" "Illicitly produce 'Debtors'" 1.00;
"Debtors" "sales" 1000.00;
