"Journal of 'Grant fee'" "Illicitly deregister 'Grant fee'" 1.00;
"Journal of 'Employ teacher'" "Illicitly deregister 'Employ teacher'" 1.00;
"Journal of 'Pay salaries'" "Illicitly deregister 'Pay salaries'" 1.00;
"Journal of 'Deliver course'" "Illicitly deregister 'Deliver course'" 1.00;
"Journal of 'Rent room'" "Illicitly deregister 'Rent room'" 1.00;
"Journal of 'Buy book'" "Illicitly deregister 'Buy book'" 1.00;
"Journal of 'sales'" "Illicitly deregister 'sales'" 1.00;
"Journal of 'Pay creditors'" "Illicitly deregister 'Pay creditors'" 1.00;
"Journal of 'Deliver book'" "Illicitly deregister 'Deliver book'" 1.00;
"Journal of 'Collect'" "Illicitly deregister 'Collect'" 1.00;
"Sales fee" "Illicitly consume 'Sales fee'" 1.00;
"Sales fee" "Grant fee" 400.00;
"Teaching hours" "Illicitly consume 'Teaching hours'" 1.00;
"Teaching hours" "Deliver course" 20.00;
"Salaries" "Illicitly consume 'Salaries'" 1.00;
"Salaries" "Pay salaries" 500.00;
"Course orders" "Illicitly consume 'Course orders'" 1.00;
"Course orders" "Deliver course" 1.00;
"Room hours" "Illicitly consume 'Room hours'" 1.00;
"Room hours" "Deliver course" 20.00;
"Cash" "Illicitly consume 'Cash'" 1.00;
"Cash" "Pay salaries" 500.00;
"Cash" "Pay creditors" 225.00;
"Book orders" "Illicitly consume 'Book orders'" 1.00;
"Book orders" "Deliver book" 1.00;
"Creditors" "Illicitly consume 'Creditors'" 1.00;
"Creditors" "Pay creditors" 225.00;
"Course books" "Illicitly consume 'Course books'" 1.00;
"Course books" "Deliver book" 1.00;
"Debtors" "Illicitly consume 'Debtors'" 1.00;
"Debtors" "Collect" 25.00;
